block,timestamp,start_time,end_time,algo_schedule_mw,condition_used,BaseForecast,EffectiveBaseForecast,IntradayForecast_mw
50,2026-03-25 12:15:00,2026-03-25 12:15:00,2026-03-25 12:30:00,4.221,CONDITION_3,4.003,4.003,4.07
51,2026-03-25 12:30:00,2026-03-25 12:30:00,2026-03-25 12:45:00,4.088,CONDITION_3,3.973,3.973,4.04
52,2026-03-25 12:45:00,2026-03-25 12:45:00,2026-03-25 13:00:00,3.944,CONDITION_3,3.944,3.944,4.01
53,2026-03-25 13:00:00,2026-03-25 13:00:00,2026-03-25 13:15:00,3.866,CONDITION_3,3.866,3.866,3.93
54,2026-03-25 13:15:00,2026-03-25 13:15:00,2026-03-25 13:30:00,3.673,CONDITION_3,3.787,3.787,3.85
55,2026-03-25 13:30:00,2026-03-25 13:30:00,2026-03-25 13:45:00,3.485,CONDITION_3,3.709,3.709,3.77
56,2026-03-25 13:45:00,2026-03-25 13:45:00,2026-03-25 14:00:00,3.393,CONDITION_3,3.611,3.611,3.67
57,2026-03-25 14:00:00,2026-03-25 14:00:00,2026-03-25 14:15:00,3.186,CONDITION_3,3.503,3.503,3.56
58,2026-03-25 14:15:00,2026-03-25 14:15:00,2026-03-25 14:30:00,3.079,CONDITION_3,3.376,3.376,3.43
59,2026-03-25 14:30:00,2026-03-25 14:30:00,2026-03-25 14:45:00,2.927,CONDITION_3,3.209,3.209,3.26
60,2026-03-25 14:45:00,2026-03-25 14:45:00,2026-03-25 15:00:00,2.766,CONDITION_3,3.033,3.033,3.08
61,2026-03-25 15:00:00,2026-03-25 15:00:00,2026-03-25 15:15:00,2.596,CONDITION_3,2.846,2.846,2.89
62,2026-03-25 15:15:00,2026-03-25 15:15:00,2026-03-25 15:30:00,2.418,CONDITION_3,2.65,2.65,2.69
63,2026-03-25 15:30:00,2026-03-25 15:30:00,2026-03-25 15:45:00,2.249,CONDITION_3,2.435,2.435,2.47
64,2026-03-25 15:45:00,2026-03-25 15:45:00,2026-03-25 16:00:00,2.05,CONDITION_3,2.219,2.219,2.25
65,2026-03-25 16:00:00,2026-03-25 16:00:00,2026-03-25 16:15:00,1.841,CONDITION_3,1.994,1.994,2.02
66,2026-03-25 16:15:00,2026-03-25 16:15:00,2026-03-25 16:30:00,1.615,CONDITION_3,1.749,1.749,1.77
67,2026-03-25 16:30:00,2026-03-25 16:30:00,2026-03-25 16:45:00,1.416,CONDITION_3,1.533,1.533,1.55
68,2026-03-25 16:45:00,2026-03-25 16:45:00,2026-03-25 17:00:00,1.256,CONDITION_3,1.327,1.327,1.34
69,2026-03-25 17:00:00,2026-03-25 17:00:00,2026-03-25 17:15:00,1.052,CONDITION_3,1.112,1.112,1.12
70,2026-03-25 17:15:00,2026-03-25 17:15:00,2026-03-25 17:30:00,0.848,CONDITION_3,0.896,0.896,0.9
71,2026-03-25 17:30:00,2026-03-25 17:30:00,2026-03-25 17:45:00,0.514,CONDITION_3,0.543,0.543,0.54
72,2026-03-25 17:45:00,2026-03-25 17:45:00,2026-03-25 18:00:00,0.289,CONDITION_3,0.312,0.312,0.36
73,2026-03-25 18:00:00,2026-03-25 18:00:00,2026-03-25 18:15:00,0.173,CONDITION_3,0.187,0.187,0.21
74,2026-03-25 18:15:00,2026-03-25 18:15:00,2026-03-25 18:30:00,0.073,CONDITION_3,0.079,0.079,0.08
75,2026-03-25 18:30:00,2026-03-25 18:30:00,2026-03-25 18:45:00,0.0,SUNSET_CLAMP,0.014,0.014,0.0
76,2026-03-25 18:45:00,2026-03-25 18:45:00,2026-03-25 19:00:00,0.0,SUNSET_CLAMP,0.014,0.014,0.0
77,2026-03-25 19:00:00,2026-03-25 19:00:00,2026-03-25 19:15:00,0.0,SUNSET_CLAMP,0.014,0.014,0.0
78,2026-03-25 19:15:00,2026-03-25 19:15:00,2026-03-25 19:30:00,0.0,SUNSET_CLAMP,0.014,0.014,0.0
79,2026-03-25 19:30:00,2026-03-25 19:30:00,2026-03-25 19:45:00,0.0,SUNSET_CLAMP,0.014,0.014,0.0
