block,timestamp,algo_schedule_mw,condition_used,BaseForecast,EffectiveBaseForecast,IntradayForecastRaw_mw,IntradayForecastScaled_mw,IntradayForecast_mw
23,2026-03-12 05:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
24,2026-03-12 05:45:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
25,2026-03-12 06:00:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
26,2026-03-12 06:15:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
27,2026-03-12 06:30:00,0.0,PRE_START,0.0,0.0,0.0,0.0,0.0
28,2026-03-12 06:45:00,0.0,PRE_START,0.0,0.0,0.15,0.15,0.15
29,2026-03-12 07:00:00,0.0,PRE_START,0.0,0.0,0.7,0.7,0.7
30,2026-03-12 07:15:00,1.079,CONDITION_3,1.079,1.079,1.41,1.41,1.41
31,2026-03-12 07:30:00,1.706,CONDITION_3,1.706,1.706,2.23,2.23,2.23
32,2026-03-12 07:45:00,2.561,CONDITION_3,2.486,2.486,3.25,3.25,3.25
33,2026-03-12 08:00:00,3.966,CONDITION_3,3.933,3.933,4.37,4.37,4.37
34,2026-03-12 08:15:00,5.056,CONDITION_3,5.013,5.013,5.57,5.57,5.57
35,2026-03-12 08:30:00,6.048,CONDITION_3,5.994,5.994,6.66,6.66,6.66
36,2026-03-12 08:45:00,7.01,CONDITION_3,6.948,6.948,7.72,7.72,7.72
37,2026-03-12 09:00:00,7.988,CONDITION_3,7.857,7.857,8.73,8.73,8.73
38,2026-03-12 09:15:00,8.876,CONDITION_3,8.73,8.73,9.7,9.7,9.7
39,2026-03-12 09:30:00,9.708,CONDITION_3,9.549,9.549,10.61,10.61,10.61
40,2026-03-12 09:45:00,10.477,CONDITION_3,10.305,10.305,11.45,11.45,11.45
41,2026-03-12 10:00:00,11.163,CONDITION_3,10.98,10.98,12.2,12.2,12.2
42,2026-03-12 10:15:00,11.767,CONDITION_3,11.574,11.574,12.86,12.86,12.86
43,2026-03-12 10:30:00,12.369,CONDITION_3,12.105,12.105,13.45,13.45,13.45
44,2026-03-12 10:45:00,12.829,CONDITION_3,12.555,12.555,13.95,13.95,13.95
45,2026-03-12 11:00:00,13.233,CONDITION_3,12.951,12.951,14.39,14.39,14.39
46,2026-03-12 11:15:00,13.583,CONDITION_3,13.293,13.293,14.77,14.77,14.77
47,2026-03-12 11:30:00,13.877,CONDITION_3,13.581,13.581,15.09,15.09,15.09
48,2026-03-12 11:45:00,14.125,CONDITION_3,13.824,13.824,15.36,15.36,15.36
49,2026-03-12 12:00:00,14.319,CONDITION_3,14.013,14.013,15.57,15.57,15.57
50,2026-03-12 12:15:00,14.335,CONDITION_3,14.13,14.13,15.7,15.7,15.7
51,2026-03-12 12:30:00,14.379,CONDITION_3,14.202,14.202,15.78,15.78,15.78
52,2026-03-12 12:45:00,14.327,CONDITION_3,14.238,14.238,15.82,15.82,15.82
53,2026-03-12 13:00:00,14.193,CONDITION_3,14.193,14.193,15.77,15.77,15.77
54,2026-03-12 13:15:00,14.058,CONDITION_3,14.058,14.058,15.62,15.62,15.62
55,2026-03-12 13:30:00,13.869,CONDITION_3,13.869,13.869,15.41,15.41,15.41
56,2026-03-12 13:45:00,13.514,CONDITION_3,13.599,13.599,15.11,15.11,15.11
57,2026-03-12 14:00:00,13.119,CONDITION_3,13.284,13.284,14.76,14.76,14.76
58,2026-03-12 14:15:00,12.746,CONDITION_3,12.906,12.906,14.34,14.34,14.34
59,2026-03-12 14:30:00,12.232,CONDITION_3,12.465,12.465,13.85,13.85,13.85
60,2026-03-12 14:45:00,11.756,CONDITION_3,11.979,11.979,13.31,13.31,13.31
61,2026-03-12 15:00:00,11.226,CONDITION_3,11.439,11.439,12.71,12.71,12.71
62,2026-03-12 15:15:00,10.625,CONDITION_3,10.827,10.827,12.03,12.03,12.03
63,2026-03-12 15:30:00,9.998,CONDITION_3,10.143,10.143,11.27,11.27,11.27
64,2026-03-12 15:45:00,9.28,CONDITION_3,9.414,9.414,10.46,10.46,10.46
65,2026-03-12 16:00:00,8.464,CONDITION_3,8.586,8.586,9.54,9.54,9.54
66,2026-03-12 16:15:00,7.576,CONDITION_3,7.686,7.686,8.54,8.54,8.54
67,2026-03-12 16:30:00,6.6,CONDITION_3,6.696,6.696,7.44,7.44,7.44
68,2026-03-12 16:45:00,5.644,CONDITION_3,5.688,5.688,6.32,6.32,6.32
69,2026-03-12 17:00:00,4.626,CONDITION_3,4.662,4.662,5.18,5.18,5.18
70,2026-03-12 17:15:00,3.608,CONDITION_3,3.636,3.636,4.04,4.04,4.04
71,2026-03-12 17:30:00,2.64,CONDITION_3,2.664,2.664,2.96,2.96,2.96
72,2026-03-12 17:45:00,1.726,CONDITION_3,1.737,1.737,1.93,1.93,1.93
73,2026-03-12 18:00:00,0.764,CONDITION_3,0.788,0.788,1.03,1.03,1.03
74,2026-03-12 18:15:00,0.171,CONDITION_3,0.176,0.176,0.23,0.23,0.23
75,2026-03-12 18:30:00,0.0,CONDITION_3,0.0,0.0,0.0,0.0,0.0
76,2026-03-12 18:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
77,2026-03-12 19:00:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
78,2026-03-12 19:15:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
79,2026-03-12 19:30:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
80,2026-03-12 19:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
81,2026-03-12 20:00:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
82,2026-03-12 20:15:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
83,2026-03-12 20:30:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
84,2026-03-12 20:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
85,2026-03-12 21:00:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
86,2026-03-12 21:15:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
87,2026-03-12 21:30:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
88,2026-03-12 21:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
89,2026-03-12 22:00:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
90,2026-03-12 22:15:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
91,2026-03-12 22:30:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
92,2026-03-12 22:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
93,2026-03-12 23:00:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
94,2026-03-12 23:15:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
95,2026-03-12 23:30:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
96,2026-03-12 23:45:00,0.0,SUNSET_CLAMP,0.0,0.0,0.0,0.0,0.0
