Block,Time,System Schedule (MW),Vedanjay Schedule (MW),Metered Actual (MW),Diff (MW),Abs Diff (MW),Diff % of System,System vs Metered (MW),Vedanjay vs Metered (MW)
76,18:45,0.000,0.000,-0.010,0.000,0.000,,0.010,0.010
77,19:00,0.000,0.000,-0.006,0.000,0.000,,0.006,0.006
78,19:15,0.000,0.000,-0.006,0.000,0.000,,0.006,0.006
79,19:30,0.000,0.000,-0.006,0.000,0.000,,0.006,0.006
80,19:45,0.000,0.000,-0.006,0.000,0.000,,0.006,0.006
81,20:00,0.000,0.000,-0.006,0.000,0.000,,0.006,0.006
82,20:15,0.000,0.000,-0.006,0.000,0.000,,0.006,0.006
83,20:30,0.000,0.000,,0.000,0.000,,,
84,20:45,0.000,0.000,,0.000,0.000,,,
85,21:00,0.000,0.000,,0.000,0.000,,,
86,21:15,0.000,0.000,,0.000,0.000,,,
87,21:30,0.000,0.000,-0.006,0.000,0.000,,0.006,0.006
88,21:45,0.000,0.000,-0.006,0.000,0.000,,0.006,0.006
89,22:00,0.000,0.000,,0.000,0.000,,,
90,22:15,0.000,0.000,,0.000,0.000,,,
91,22:30,0.000,0.000,,0.000,0.000,,,
92,22:45,0.000,0.000,,0.000,0.000,,,
93,23:00,0.000,0.000,,0.000,0.000,,,
94,23:15,0.000,0.000,,0.000,0.000,,,
95,23:30,0.000,0.000,,0.000,0.000,,,
96,23:45,0.000,0.000,,0.000,0.000,,,
