TimeStamp,Active Power (kW),POA (W/m2),GHI (W/m2),Wind Speed (m/s),Wind Direction (DEG.),AMB TEMP,MOD TEMP,Humidity
2026-03-25 05:45:00,-5.318,-0.33594,-0.33046,0.05948,313.879,16.8,14.4,62.08
2026-03-25 06:00:00,-5.405333333333333,0.03274000000000001,-0.1419733333333333,0.021233333333333333,313.8849533333333,16.900000000000002,14.619999999999997,61.31333333333334
2026-03-25 06:15:00,4.2525,4.303375,4.6001666666666665,0.0,313.86714166666667,16.941666666666663,14.674999999999999,62.475
2026-03-25 06:30:00,29.462500000000002,11.215325,12.014375000000001,0.0,313.89685,17.25,14.975,61.175
2026-03-25 06:45:00,150.806,45.391160000000006,44.09985333333334,0.015413333333333334,314.07932,17.68,16.539999999999996,60.12666666666667
2026-03-25 07:00:00,221.35333333333335,58.34944,59.79466666666667,0.0,314.31596666666667,18.266666666666666,17.773333333333333,59.306666666666665
2026-03-25 07:15:00,319.4073333333334,92.01048666666667,88.82885333333334,0.06691333333333334,314.56970000000007,19.086666666666666,19.4,59.04666666666667
2026-03-25 07:30:00,706.7519999999998,196.30351333333334,189.50545999999997,0.03693333333333334,314.9235533333333,20.386666666666667,22.086666666666666,56.166666666666664
2026-03-25 07:45:00,495.6353333333333,142.2628533333333,140.63104,0.60106,183.28674,22.84,25.453333333333333,50.146666666666675
2026-03-25 08:00:00,1120.2006666666666,301.20923333333326,290.80276,1.2945866666666668,42.28244666666667,25.279999999999994,27.313333333333336,41.33333333333334
2026-03-25 08:15:00,1379.6833333333336,363.76498,348.41404,1.0287666666666666,43.91529333333334,26.273333333333326,30.099999999999998,39.61333333333334
2026-03-25 08:30:00,1668.0479999999998,430.23211333333336,409.03704,1.65142,48.12758666666666,26.6,31.77333333333333,38.41333333333334
2026-03-25 08:45:00,1934.4153333333334,491.0189066666666,465.38412666666676,1.3550933333333333,49.000759999999985,27.23333333333333,34.2,37.0
2026-03-25 09:00:00,2186.5,550.3720866666666,521.1359199999999,0.8346066666666668,80.70054666666668,27.89333333333333,36.88,35.43333333333333
2026-03-25 09:15:00,2419.368666666667,605.3934399999999,572.2965933333332,0.4040000000000001,146.11944666666668,28.60666666666667,40.14666666666666,33.57999999999999
2026-03-25 09:30:00,2627.9873333333335,660.2276399999998,625.4891066666667,1.0583866666666668,174.07132666666666,28.9,44.61333333333334,32.39333333333334
2026-03-25 09:45:00,2836.0820000000003,708.1541,673.5432333333333,0.8168599999999999,137.80094666666665,29.36,46.379999999999995,31.60666666666667
2026-03-25 10:00:00,3019.526,751.9791133333333,718.4317266666668,0.8947333333333333,171.82423999999997,29.62,49.28,30.900000000000002
2026-03-25 10:15:00,3189.4526666666666,790.0320533333332,757.3492333333332,1.1201999999999999,139.26317333333333,29.779999999999998,48.32,30.013333333333332
2026-03-25 10:30:00,3333.706,823.2141066666667,792.4504399999998,1.0979866666666664,148.52307333333334,30.313333333333333,48.96,30.139999999999997
2026-03-25 10:45:00,3475.8679999999995,857.4615533333333,826.1193600000001,0.7845733333333335,141.0235933333333,30.56,50.65999999999999,29.54666666666667
2026-03-25 11:00:00,3552.4593333333332,876.6713133333335,847.8477666666665,0.8735866666666668,118.79739333333335,30.839999999999993,51.93999999999999,29.826666666666664
2026-03-25 11:15:00,3667.451333333333,905.2045,877.0391733333335,1.03752,141.69274666666666,31.173333333333336,51.91333333333333,28.759999999999998
2026-03-25 11:30:00,3750.219333333333,929.1004666666666,899.5893533333333,0.5906266666666667,165.53768,31.620000000000005,55.166666666666664,28.199999999999996
2026-03-25 11:45:00,3591.9906666666666,870.8262466666667,848.0826666666667,0.8992933333333334,165.53695999999994,32.306666666666665,53.99333333333335,27.506666666666668
2026-03-25 12:00:00,3623.5353333333333,883.02282,857.9699333333333,0.9317066666666667,144.90057333333337,32.38,53.35999999999999,27.00666666666667
2026-03-25 12:15:00,3873.0719999999997,947.4025133333332,922.3808333333332,0.68724,174.88887333333332,32.266666666666666,55.5,26.466666666666665
2026-03-25 12:30:00,3763.718666666667,926.4765533333334,909.2648733333333,0.8581133333333332,184.6948066666667,33.14666666666667,58.606666666666655,25.726666666666667
2026-03-25 12:45:00,3802.4760000000006,940.9189799999998,918.84052,0.7869733333333334,162.86476,33.486666666666665,58.919999999999995,25.06666666666667
2026-03-25 13:00:00,3509.44,845.7476533333333,830.4870666666667,0.7693133333333333,212.10216666666668,33.413333333333334,57.10666666666667,25.459999999999997
2026-03-25 13:15:00,3334.5726666666665,792.9016933333334,795.8910066666666,1.3763866666666664,231.62354,33.86666666666667,55.82666666666666,24.606666666666666
2026-03-25 13:30:00,3631.1346666666664,893.8296533333333,899.0789066666669,1.2271133333333333,146.12538,34.086666666666666,56.07333333333333,24.226666666666674
2026-03-25 13:45:00,3003.6699999999996,707.3592733333334,718.4650333333334,0.7116533333333332,170.84200666666666,33.839999999999996,52.34666666666667,24.16666666666667
2026-03-25 14:00:00,3195.7746666666662,735.5036133333334,753.67858,1.3854933333333332,245.17068,34.34666666666667,53.28666666666666,22.2
2026-03-25 14:15:00,3237.628666666667,759.8513533333333,781.1382866666668,1.5442266666666666,180.4743466666667,34.28,52.46666666666667,22.113333333333337
2026-03-25 14:30:00,3110.3453333333327,712.2480200000001,738.5573733333333,1.4988,228.8393266666666,34.53333333333333,52.846666666666664,21.840000000000007
2026-03-25 14:45:00,3331.4759999999997,766.9649533333334,798.2132399999999,1.27798,229.2421533333334,34.85333333333334,54.67333333333333,21.779999999999998
2026-03-25 15:00:00,3074.326,708.98196,738.3632533333333,0.6868333333333333,216.34192,34.75333333333333,54.04666666666665,21.10666666666667
2026-03-25 15:15:00,2586.5880000000006,580.9934933333333,601.1005133333333,1.0563333333333336,224.7546266666667,34.553333333333335,49.36,21.76
2026-03-25 15:30:00,2591.987333333333,588.1713866666666,612.3256466666667,0.9751733333333333,273.06839999999994,34.64666666666667,46.059999999999995,21.913333333333334
2026-03-25 15:45:00,2410.256,547.3844866666666,568.1288733333333,0.9321533333333334,172.52306666666667,34.726666666666674,45.86000000000001,21.62
2026-03-25 16:00:00,2118.5893333333333,480.0108133333334,495.9802266666667,0.6528066666666665,99.59652,34.45333333333333,44.24666666666667,21.959999999999997
2026-03-25 16:15:00,1190.3586666666667,279.2604066666666,297.7732666666667,0.37801999999999997,219.42882000000003,34.88666666666666,43.36,21.546666666666667
2026-03-25 16:30:00,771.8406666666666,183.95343333333332,200.74852666666663,0.9156,201.75614666666667,33.993333333333325,37.906666666666666,22.073333333333334
2026-03-25 16:45:00,864.6726666666667,201.94113333333334,216.6346466666667,0.5423399999999999,257.8387266666667,34.02,37.88666666666667,21.953333333333333
2026-03-25 17:00:00,712.3086666666667,169.06640666666667,184.57515333333333,0.5940666666666666,293.91550666666666,33.76,37.373333333333335,22.26
2026-03-25 17:15:00,467.3733333333333,116.03663333333331,124.962,0.0707,174.80947333333333,33.74,36.43999999999999,21.939999999999998
2026-03-25 17:30:00,332.7180000000001,89.27407333333333,97.16238666666666,0.14599333333333334,132.29113333333333,33.68000000000001,34.55333333333333,22.5
2026-03-25 17:45:00,567.5953333333333,155.9862533333333,160.22147333333334,0.15627333333333335,133.75184666666667,34.16,35.279999999999994,21.779999999999998
2026-03-25 18:00:00,329.00266666666664,91.79626666666665,97.86250666666665,0.2047933333333333,229.75478666666666,33.95333333333333,34.826666666666675,22.293333333333337
2026-03-25 18:15:00,153.71200000000002,43.11319333333333,47.957899999999995,0.2547066666666667,281.23484,33.400000000000006,32.32,22.899999999999995
2026-03-25 18:30:00,65.52,20.787666666666667,22.88333333333333,0.1703,308.1585333333333,33.0,31.26666666666667,22.866666666666664
2026-03-25 19:00:00,54.8,17.7457,19.5607,0.0,308.1214,33.0,31.1,22.9
2026-03-25 19:15:00,-1.274,0.40321999999999997,0.6509600000000001,0.04967333333333334,311.45682000000005,28.78666666666667,25.28666666666667,30.906666666666663
2026-03-25 19:30:00,-5.27,0.2733,0.7665,0.0,311.2484,28.2,24.5,32.0
2026-03-25 23:15:00,-5.3500000000000005,0.36252,0.37072,0.08198,314.25958,23.34,20.32,42.86
2026-03-25 23:30:00,-5.301,0.16692999999999997,0.06627999999999999,0.33517,311.70351,21.910000000000004,19.390000000000004,46.980000000000004
