Schedule Template for MH_VEDANJAY and revision DA,,,,,,
,Scheduling entity,MH_VEDANJAY,,,,
,Date,21-07-2026,,,,
,Revision No,DA,,,,
,,,,,,
POS Name,Naldurg Inter 132kV,Naldurg Inter 132kV,Naldurg Inter 132kV,VSNL Dighi 220kV,VSNL Dighi 220kV,VSNL Dighi 220kV
Down Stream Name,,,Naldurg Inter 132kV,,,VSNL Dighi 220kV
Energy Type,,,SOLAR,,,SOLAR
Contract ID,,,CONTRACT00192,,,CONTRACT24791
Contract Type,,,LTA,,,MTOA
Exchange Type,,,NA,,,NA
Transaction Type,INTER,INTER,INTER,INTRA,INTRA,INTRA
RE Generator Name,,,Naldurg Inter 132kV,,,VSNL Dighi 220kV
Path,,,WR-WR,,,A-B
Buyer Name,,,SOLAR_CSEB,,,OA-MSEDCL
STU Name,,,Naldurg 132kV,,,VSNL Dighi 220kV
Approval Number,,,L_WR_2014_03,,,VSNL/S/08/26/OA-MSEDCL
Capacity,20,20,20,5,5,5
Block,Declared Forecast,Inter Avc,Schedule,Declared Forecast,Intra Avc,Schedule
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
68,,,,,,
69,,,,,,
70,,,,,,
71,,,,,,
72,,,,,,
73,,,,,,
74,,,,,,
75,,,,,,
76,,,,,,
77,,,,,,
78,,,,,,
79,,,,,,
80,,,,,,
81,,,,,,
82,,,,,,
83,,,,,,
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,,,,,,
93,,,,,,
94,,,,,,
95,,,,,,
96,,,,,,
