block,IntradayForecastRaw_mw,BaseForecast,algo_schedule_mw
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.12,0.0,0.0
29,0.33,0.0,0.0
30,0.58,0.335,0.335
31,0.82,0.474,0.474
32,1.08,0.734,0.739
33,1.35,0.918,0.923
34,1.63,1.108,1.118
35,1.89,1.285,1.296
36,2.15,1.462,1.474
37,2.41,1.639,1.653
38,2.66,1.809,1.837
39,2.89,1.965,1.996
40,3.1,2.108,2.141
41,3.29,2.237,2.272
42,3.44,2.339,2.376
43,3.58,2.434,2.487
44,3.7,2.516,2.57
45,3.81,2.591,2.647
46,3.9,2.652,2.709
47,3.97,2.7,2.758
48,4.02,2.734,2.792
49,4.06,2.761,2.794
50,4.09,2.781,2.815
51,4.03,2.74,2.757
52,3.95,2.686,2.686
53,3.82,2.598,2.582
54,3.66,2.489,2.443
55,3.64,2.475,2.43
56,3.59,2.441,2.397
57,3.52,2.394,2.365
58,3.43,2.332,2.318
59,3.17,2.156,2.129
60,2.9,1.972,1.936
61,2.62,1.782,1.758
62,2.34,1.591,1.57
63,2.18,1.482,1.463
64,2.0,1.36,1.342
65,1.81,1.231,1.214
66,1.61,1.095,1.087
67,1.35,0.918,0.911
68,1.11,0.755,0.751
69,0.89,0.514,0.499
70,0.68,0.393,0.381
71,0.53,0.36,0.0
72,0.38,0.258,0.0
73,0.24,0.163,0.0
74,0.1,0.068,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
